"","logFC","logCPM","LR","PValue","FDR"
"PITA_06805",-10.0269441719491,2.66332340824836,92.2779200351329,7.53199844837373e-22,1.95899747643752e-18
"PITA_00209",-10.4017819040573,3.02666432619866,89.7730229601743,2.67111783454731e-21,5.78942531322841e-18
"PITA_25299",-9.17209450059816,1.84682150119081,72.6433652698086,1.55328194304605e-17,2.12627947666762e-14
"PITA_13583",-9.53942124315527,2.19534381697908,67.9256555938022,1.69777675706092e-16,2.10273693687607e-13
"PITA_05817",-4.4482472440087,3.07212646751057,52.5273616110835,4.24295575706676e-13,3.34409200865301e-10
"PITA_45678",-6.34041270937044,1.80603987054286,44.7061718963871,2.28934533886786e-11,1.4177043552051e-08
"PITA_41896",-3.77456480307024,2.85082424612139,36.7868609847364,1.31775358910857e-09,4.69499357522258e-07
"PITA_46254",-3.48244712447145,7.83117817333389,35.5811982558864,2.44637400475006e-09,8.48369886527258e-07
"PITA_29196",-3.99899912162356,3.27673379344568,35.1827749289548,3.00166819323178e-09,1.02724194786533e-06
"PITA_38610",-5.29968159216441,1.28756310175548,34.9265598612559,3.42378447099328e-09,1.15648325072811e-06
"PITA_17720",-4.20011388513971,4.79596671386044,34.7252677633091,3.79671565358879e-09,1.26600996710501e-06
"PITA_26356",-2.73686480445297,5.56638926148725,34.0478750971454,5.37725985202315e-09,1.74821439364088e-06
"PITA_24919",-2.68119647854549,6.13796790870725,31.4676755589861,2.02788168206646e-08,5.61097602860282e-06
"PITA_31850",-3.73222378720487,2.36857341958678,29.9461192303972,4.4422007803551e-08,1.12172038928404e-05
"PITA_22123",-2.8740467028647,4.74668896641297,29.8540001569842,4.65834778310799e-08,1.15389492848434e-05
"PITA_23069",-2.00638061388739,6.36346114761051,28.6364720436958,8.73218924348526e-08,2.02781705387329e-05
"PITA_07907",-4.13900993956734,1.34539844764622,28.0413291044332,1.18751999035854e-07,2.68575716775958e-05
"PITA_00986",-2.68874316501065,4.19037874583534,27.9182164554417,1.2655270517034e-07,2.7894146684537e-05
"PITA_22854",-3.18553680666871,2.45601250231492,27.5002736683524,1.57072278230323e-07,3.26823430759397e-05
"PITA_30250",-3.57100721280578,4.6407913024712,25.2875103384095,4.93896507139564e-07,8.98020638391676e-05
"PITA_17377",-2.66857422999586,2.8112993418549,25.2746787122937,4.97193171319164e-07,8.98020638391676e-05
"PITA_42005",-4.29226633876417,1.19630709662947,22.8256788010103,1.77379800024844e-06,0.000274611382074177
"PITA_31225",-1.67136543408205,5.85784127798484,22.5979775394926,1.99694711871225e-06,0.000300223107575646
"PITA_18469",-2.85692726920519,2.28113093163819,22.5068213584453,2.09398686203214e-06,0.000309446047128374
"PITA_09977",-3.44488617208203,3.13569992648779,22.4085377954244,2.20392116047417e-06,0.000323851895269903
"PITA_03793",-3.49225966135184,4.3760863383884,22.1107139564938,2.57369306565899e-06,0.000365787884943851
"PITA_16460",-2.58101517096987,2.56475909532907,22.0607632991854,2.64154316389407e-06,0.000373390739944136
"PITA_42919",-4.67338820909432,2.69095276725719,21.9439100721167,2.80736336433717e-06,0.000393933234311247
"PITA_20015",-1.89149948128394,3.89911726001135,20.6658845860441,5.46816445947271e-06,0.000693763363055735
"PITA_18634",-2.56836671415982,4.59379167757332,20.1883953015317,7.01773763060187e-06,0.000853342662998517
"PITA_30618",-1.8709148554645,4.35946756013014,20.1785240540448,7.05404562054217e-06,0.000853342662998517
"PITA_43294",-2.71824553611989,2.56151086959022,20.0153998469221,7.68209917842675e-06,0.000908198716053188
"PITA_35860",-4.07659636420024,1.12331971345506,18.7432212106626,1.49554030061718e-05,0.00166228665293813
"PITA_39780",-1.46178018669096,4.69018275519973,18.3260619720152,1.86143177693745e-05,0.00198417947075271
"PITA_34546",-2.4897955691018,4.08108861132987,17.8971118602814,2.33174696879701e-05,0.00241619151041599
"PITA_15007",-1.84276795179252,5.02494423019416,17.0868999792001,3.57077602970399e-05,0.00343971532431745
"PITA_46721",-3.59747199766372,4.68755370021072,17.0083280940339,3.7216223001158e-05,0.00354562909903707
"PITA_41416",-1.82690190925797,4.91127834048362,16.8926289833938,3.95548867886599e-05,0.00375468266600824
"PITA_45005",-2.37967115766756,2.77384577669679,16.5855503359359,4.65039883351064e-05,0.00429645404899452
"PITA_44539",-1.72442142570829,4.20882780506638,16.5822952039776,4.65838764203335e-05,0.00429645404899452
"PITA_11028",-3.3399330786204,2.30486510010401,16.3445339050512,5.28082525098569e-05,0.00476906194280857
"PITA_10183",-2.16075697517951,5.614007404627,16.3287261534866,5.32505821836191e-05,0.00478321620062953
"PITA_40902",-2.03917571502784,4.96338484291106,16.3258025851675,5.33327962698514e-05,0.00478321620062953
"PITA_09818",-2.80371862553723,1.84526436962266,16.2099915652153,5.66943038817986e-05,0.00501551751585612
"PITA_28273",-3.26072979138951,0.669110686024326,15.9666735286211,6.44674354437084e-05,0.00549748697854234
"PITA_08560",-3.19729321370606,0.746517842044997,15.9303680304124,6.57158296912007e-05,0.00556743652911544
"PITA_28306",-3.17506152142303,1.67026043102709,15.7999736654051,7.04034881815966e-05,0.00587100746619311
"PITA_15295",-2.38657167783617,4.62944142865229,15.7329635209971,7.29418959361169e-05,0.00606116859872992
"PITA_05153",-3.22573968536777,0.67601386790379,15.4599531058284,8.42719743650595e-05,0.00680692478652432
"PITA_23781",-2.54342038681161,2.31480720267676,15.4226539934101,8.59516959709465e-05,0.00692110730807538
"PITA_02678",-1.33366270191853,5.94591860392265,15.3352492185102,9.00210403282087e-05,0.00720417611660424
"PITA_02431",-3.77518183842403,3.16643541090176,15.3112504962296,9.11719050939628e-05,0.00727389594965914
"PITA_24359",-2.26609843983588,2.6011083559507,15.2793243045892,9.27259164057622e-05,0.00737525492292804
"PITA_51133",-1.33569953330822,5.99777341561244,15.2235778572266,9.55035646026489e-05,0.00755000672264527
"PITA_31682",-2.12832170115217,2.60083304509656,15.1080028264795,0.000101531952836718,0.00795404988352471
"PITA_06351",-2.47506932264779,2.21574766293329,15.0306466142696,0.000105779391355856,0.00820725671343545
"PITA_09974",-2.93187290983261,2.06866775647987,15.0302822877149,0.000105799813004847,0.00820725671343545
"PITA_48808",-1.58792607283787,6.84301781499339,14.9234407269129,0.000111963136375069,0.00850283172222801
"PITA_26684",-1.69268281776004,3.32606582567265,14.900241290849,0.000113348486420549,0.00853142005742988
"PITA_01744",-2.70190850531268,1.33740491627825,14.7900829005496,0.000120165783547696,0.00887895415992053
"PITA_15927",-2.74938670342555,2.58862676031457,14.4758783047583,0.000141965891386654,0.0101718756723842
"PITA_42387",-3.6749726010883,0.611826538405973,14.4432534533375,0.000144446348345025,0.0102928906139884
"PITA_07279",-1.66038538260646,6.87239672447941,14.4217332510655,0.000146106363434977,0.0103827333513123
"PITA_12586",-1.90223998635255,3.4691301772932,14.2860628795449,0.000157023201522699,0.0110081305886897
"PITA_43713",-1.31016799368918,9.42034858305501,14.233533337721,0.000161467421961291,0.0112308351312833
"PITA_40008",-1.596293741776,5.4144210341135,14.2281828257205,0.000161927147304058,0.0112308351312833
"PITA_41676",-1.31047148506424,6.0249342559917,14.2150479646051,0.000163061315443123,0.011279419556809
"PITA_25765",-4.37063223118634,3.85779676839949,14.005604193,0.000182266573983774,0.0123579282807382
"PITA_13681",-2.2361270244975,2.32482500168927,14.0031536886664,0.000182504269723068,0.0123579282807382
"PITA_40300",-1.51114125151258,3.98197959476537,13.8406121005445,0.00019898838523968,0.0133388889476774
"PITA_37303",-1.21463263006906,5.48463521112927,13.8213930697929,0.000201034135448211,0.0133726261607993
"PITA_38496",-1.68904076398625,5.20717200438222,13.7920937341707,0.000204193723643699,0.0135481493832882
"PITA_20669",-1.57943983561195,6.43985231285347,13.6579732041005,0.00021930809188019,0.0142090170000426
"PITA_25644",-1.46490859378038,4.75916045916018,13.6441320032237,0.0002209306989577,0.0142090170000426
"PITA_14158",-2.83350077047241,1.33886511057323,13.6413679467821,0.000221256176132002,0.0142090170000426
"PITA_50012",-1.25880447764137,4.93146884532192,13.6067578210371,0.000225372775087518,0.0144377352395351
"PITA_09085",-2.50347943367366,3.50340596456937,13.4865702757077,0.000240276975792864,0.0151683588917393
"PITA_43642",-1.63342024009762,8.4706202629521,13.3950131897839,0.000252294166543242,0.0158118529581281
"PITA_07465",-3.33252940805999,0.265333857640346,13.3872236363673,0.000253344120135797,0.0158394885110864
"PITA_37074",-2.06243767910579,2.71010835993997,13.1620058958607,0.000285682900937309,0.017524355119053
"PITA_50170",-2.95398544255145,0.133922574296657,13.0442100514205,0.000304223449535386,0.0184441671304565
"PITA_49449",-1.58146365977011,3.93127699624527,12.9935275808084,0.000312569545717078,0.0189060960803616
"PITA_38033",-1.40930169076069,4.17984947037587,12.8949366921557,0.000329472240891045,0.019746186233318
"PITA_42555",-1.76149257315291,2.90686872995093,12.8209057126097,0.000342767756001118,0.0202614694678024
"PITA_39951",-1.92722457792766,3.15925559512743,12.7714399150214,0.000351951809702884,0.0207571760058103
"PITA_49619",-3.47945215986345,1.86662845358735,12.6818539212064,0.000369221303344303,0.0214833934646129
"PITA_50767",-1.70481673137072,4.23762456628943,12.5664255569402,0.000392739041661773,0.0224007669618005
"PITA_18544",-1.20092983607198,6.89204791942334,12.3459961510491,0.000441933267271877,0.0245079794210539
"PITA_23009",-1.73861568355356,3.88488810320031,12.3298782530989,0.000445765479534984,0.0246679028877136
"PITA_06138",-1.18790290750366,5.81848510727288,12.2946607351876,0.000454255935939075,0.0249783142449036
"PITA_18124",-1.39117778670502,5.667104126552,12.1696401129799,0.000485736773978072,0.0265410246941085
"PITA_11259",-2.88020227315263,1.97654600168784,12.1446651395066,0.000492284799441115,0.0268424221145995
"PITA_11051",-1.62132457316893,3.60552761529197,12.0938168620481,0.000505893063263512,0.0274692540342812
"PITA_07719",-1.57369780906095,4.84448733933909,11.9383609444523,0.000549898364058313,0.0296114007262788
"PITA_33194",-2.11827448473399,4.07309898542804,11.9336856043144,0.00055128008087969,0.0296244702966939
"PITA_19462",-2.4479951340307,3.39225709172355,11.9268343163839,0.000553311196050235,0.0296723111300424
"PITA_27964",-1.56674087527169,2.96969741003293,11.8763239332875,0.000568520421232142,0.0303005074504647
"PITA_18140",-2.23573235436725,1.5909490731225,11.7464949659976,0.000609579257231384,0.0319648123010707
"PITA_18117",-1.29615092741796,5.94911992702416,11.7219269189063,0.000617679638872653,0.0322834391462459
"PITA_09179",-1.70538972736044,3.6652623110387,11.5838551424237,0.000665268788581316,0.0343313014329592
"PITA_22468",-2.28457177380743,0.861871515907399,11.5410765237157,0.000680752103043455,0.0350607553426875
"PITA_21213",-1.87750999463496,3.09670887418015,11.4463563979812,0.000716343238683925,0.0365321005782945
"PITA_47340",-2.49139375897347,2.4222831793664,11.3865058609942,0.00073979555980013,0.037289423865972
"PITA_43063",-2.67552828159875,3.49653554059036,11.3094755902977,0.000771125482727465,0.0381296628902256
"PITA_43448",-2.33106367598986,2.2023161889884,11.3033023175876,0.000773693586732983,0.0381840540746454
"PITA_10873",-1.264253785487,5.4742075869687,11.2995253392339,0.000775269083145017,0.0381893439081795
"PITA_40015",-2.33644800470682,3.44366725608037,11.2096585275916,0.000813726917889477,0.0398184549188944
"PITA_07225",-0.948579689811488,7.32403684901748,11.1935014324812,0.000820843032569677,0.0399052456712238
"PITA_05353",-1.49699952314434,3.36515252416787,11.140673694995,0.00084455213167873,0.0409049467278065
"PITA_38791",-1.27321858117217,4.65446743298187,11.1121287667311,0.000857649944275476,0.041126134418902
"PITA_46810",-2.24756469742329,1.27649428493689,11.1100618316747,0.00085860628972524,0.041126134418902
"PITA_10478",-1.25456731570043,4.43619395029867,11.0976968558437,0.000864349967139118,0.041325143925223
"PITA_38207",-2.75996795647713,0.646507232643087,11.0481946335977,0.00088773601945951,0.0421334418432891
"PITA_25199",-1.33926818962436,5.08462275351211,11.0372820123236,0.000892976863653507,0.0423049822345429
"PITA_45104",-2.42521700359908,1.85351225789942,11.0025636162573,0.000909859535749155,0.0428957649289787
"PITA_31051",-2.20826896428809,1.19485799692288,10.9816603388361,0.000920179530479893,0.0432002696899847
"PITA_00012",-1.87641123611318,2.33555663178563,10.9137058979441,0.000954553749980998,0.044572690275145
"PITA_43227",-1.20851154661462,4.95983895649942,10.8577601126151,0.000983826183800086,0.0454113339942528
"PITA_31306",-1.570689242177,3.14713359793631,10.7758100357296,0.00102835201891652,0.046923522210526
"PITA_30667",-2.00991758350426,2.985192397385,10.7452853030549,0.00104545322015067,0.047383043570933
"PITA_05631",-1.1784515257217,5.02199613478288,10.7379937045757,0.00104958065697892,0.0474757274910692
"PITA_33787",-1.70613465366305,3.19447833383441,10.730390913608,0.00105390179863221,0.0475884234038629
"PITA_37198",-0.925537970258367,7.77186694117392,10.6521858794041,0.00109940893904856,0.0489632313282776
